Rank,Feature,Importance,Importance_Pct
1,Credit_Score,0.9989712557166041,99.897
2,time_since_recent_payment,0.00013378341051814091,0.013
3,Credit_Health_Score,0.00011010913956495786,0.011
4,NETMONTHLYINCOME_Capped,7.766643077137206e-05,0.008
5,time_since_recent_enq,6.103017514136191e-05,0.006
6,enq_L3m,5.4938479266590845e-05,0.005
7,Other_TL,5.3111693789461333e-05,0.005
8,Total_TL,4.902737325569369e-05,0.005
9,recent_level_of_deliq,4.869722578337457e-05,0.005
10,Age_Newest_TL,4.049691390743767e-05,0.004
11,AGE,3.861613119236334e-05,0.004
12,pct_tl_closed_L12M,3.558024452399296e-05,0.004
13,EDUCATION_enc,2.8137231361217523e-05,0.003
14,Time_With_Curr_Empr,2.5546401904200223e-05,0.003
15,num_times_30p_dpd,2.508739324827283e-05,0.003
16,Age_Oldest_TL,2.4403035256247842e-05,0.002
17,Income_TL_Ratio,2.2265363285511182e-05,0.002
18,max_deliq_6mts,2.0223181413317775e-05,0.002
19,num_std,1.5145905876781028e-05,0.002
20,num_std_6mts,1.2290220579799923e-05,0.001
21,pct_tl_open_L12M,1.1908040526758809e-05,0.001
22,pct_PL_enq_L6m_of_L12m,1.106716671609673e-05,0.001
23,Consumer_TL,9.354233559109938e-06,0.001
24,Total_TL_opened_L6M,9.344683470059076e-06,0.001
25,GL_Flag,8.971128545869893e-06,0.001
26,pct_currentBal_all_TL,7.596882763010145e-06,0.001
27,PL_TL,7.526159784605827e-06,0.001
28,pct_CC_enq_L6m_of_L12m,7.306217015044485e-06,0.001
29,pct_active_tl,7.254895309551745e-06,0.001
30,Auto_TL,6.882927038989338e-06,0.001
31,PL_enq,5.83945369159825e-06,0.001
32,Unsecured_TL,4.565101374946523e-06,0.0
33,Gold_TL,4.366251772699674e-06,0.0
34,num_times_delinquent,4.221354990660851e-06,0.0
35,max_deliq_12mts,4.138441046413369e-06,0.0
36,last_prod_enq2_enc,3.860892514612716e-06,0.0
37,first_prod_enq2_enc,3.728885506749385e-06,0.0
38,CC_TL,3.6620554534430263e-06,0.0
39,Tot_TL_closed_L6M,3.402363523682246e-06,0.0
40,Tot_Active_TL,3.0363242620555863e-06,0.0
41,tot_enq,3.0126317354111208e-06,0.0
42,Home_TL,2.6629655883517595e-06,0.0
43,HL_Flag,2.501517520502131e-06,0.0
44,enq_L12m,2.4544267439611087e-06,0.0
45,num_deliq_6mts,2.3181296118920856e-06,0.0
46,pct_tl_open_L6M,1.931721803082983e-06,0.0
47,num_sub_12mts,1.83301411317823e-06,0.0
48,num_dbt,1.6856313160733817e-06,0.0
49,Tot_TL_closed_L12M,1.5142821022765577e-06,0.0
50,pct_tl_closed_L6M,1.175926412698208e-06,0.0
51,Total_TL_opened_L12M,1.173551141418582e-06,0.0
52,PL_Flag,7.503097554809035e-07,0.0
53,max_recent_level_of_deliq,6.440440068636524e-07,0.0
54,CC_enq_L6m,4.614523128153638e-07,0.0
55,PL_enq_L6m,4.350353977794464e-07,0.0
56,pct_opened_TLs_L6m_of_L12m,1.4999011009322136e-10,0.0
57,num_sub_6mts,8.431144805205735e-11,0.0
58,CC_enq_L12m,1.1654318016910147e-14,0.0
59,Tot_Missed_Pmnt,9.624046286195958e-15,0.0
60,CC_enq,5.403690419322343e-15,0.0
61,CC_Flag,0.0,0.0
62,num_lss_6mts,0.0,0.0
63,num_deliq_12mts,0.0,0.0
64,num_sub,0.0,0.0
65,MARITALSTATUS_enc,0.0,0.0
66,GENDER_enc,0.0,0.0
67,num_dbt_6mts,0.0,0.0
68,num_lss,0.0,0.0
